LAMMPS data file (FCC Fe–Ni–Cr, equiatomic ~1/3 each)
500 atoms
3 atom types

0.000000 10.000000 xlo xhi
0.000000 10.000000 ylo yhi
0.000000 10.000000 zlo zhi

Masses

1 55.845000 # Fe
2 58.693400 # Ni
3 51.996100 # Cr

Atoms # atomic
146 1 3.00000000 5.00000000 2.00000000
147 3 3.00000000 4.00000000 3.00000000
148 2 2.00000000 5.00000000 3.00000000
149 2 2.00000000 4.00000000 4.00000000
150 3 3.00000000 5.00000000 4.00000000
151 2 3.00000000 4.00000000 5.00000000
152 1 2.00000000 5.00000000 5.00000000
153 3 2.00000000 4.00000000 6.00000000
154 2 3.00000000 5.00000000 6.00000000
155 3 3.00000000 4.00000000 7.00000000
156 3 2.00000000 5.00000000 7.00000000
157 2 2.00000000 4.00000000 8.00000000
158 1 3.00000000 5.00000000 8.00000000
159 3 3.00000000 4.00000000 9.00000000
160 1 2.00000000 5.00000000 9.00000000
161 1 2.00000000 6.00000000 0.00000000
162 2 3.00000000 7.00000000 0.00000000
163 2 3.00000000 6.00000000 1.00000000
164 2 2.00000000 7.00000000 1.00000000
165 3 2.00000000 6.00000000 2.00000000
166 2 3.00000000 7.00000000 2.00000000
167 1 3.00000000 6.00000000 3.00000000
168 2 2.00000000 7.00000000 3.00000000
169 3 2.00000000 6.00000000 4.00000000
170 3 3.00000000 7.00000000 4.00000000
171 2 3.00000000 6.00000000 5.00000000
172 2 2.00000000 7.00000000 5.00000000
173 3 2.00000000 6.00000000 6.00000000
174 1 3.00000000 7.00000000 6.00000000
175 1 3.00000000 6.00000000 7.00000000
176 1 2.00000000 7.00000000 7.00000000
177 2 2.00000000 6.00000000 8.00000000
178 1 3.00000000 7.00000000 8.00000000
179 3 3.00000000 6.00000000 9.00000000
180 3 2.00000000 7.00000000 9.00000000
181 2 2.00000000 8.00000000 0.00000000
182 2 3.00000000 9.00000000 0.00000000
183 2 3.00000000 8.00000000 1.00000000
184 3 2.00000000 9.00000000 1.00000000
185 3 2.00000000 8.00000000 2.00000000
186 1 3.00000000 9.00000000 2.00000000
187 1 3.00000000 8.00000000 3.00000000
188 3 2.00000000 9.00000000 3.00000000
189 1 2.00000000 8.00000000 4.00000000
190 2 3.00000000 9.00000000 4.00000000
191 3 3.00000000 8.00000000 5.00000000
192 2 2.00000000 9.00000000 5.00000000
193 2 2.00000000 8.00000000 6.00000000
194 3 3.00000000 9.00000000 6.00000000
195 1 3.00000000 8.00000000 7.00000000
196 2 2.00000000 9.00000000 7.00000000
197 1 2.00000000 8.00000000 8.00000000
198 1 3.00000000 9.00000000 8.00000000
